turn,persona,judge,mean,std,count
1,engaged,anthropic__claude-haiku-4-5,2.935185185185185,0.6508890071562828,18
1,engaged,gemini__gemini-2.0-flash,3.235294117647059,0.0606339062590832,17
1,engaged,openai__gpt-4o-mini,3.263888888888889,0.05892556509887894,18
1,offloading,anthropic__claude-haiku-4-5,2.986842105263158,0.6100136344197871,19
1,offloading,gemini__gemini-2.0-flash,3.236111111111111,0.05892556509887895,18
1,offloading,openai__gpt-4o-mini,3.210526315789474,0.17206180040292135,19
2,engaged,anthropic__claude-haiku-4-5,2.976851851851852,0.7414025502161138,18
2,engaged,gemini__gemini-2.0-flash,3.283333333333333,0.12909944487358058,15
2,engaged,openai__gpt-4o-mini,3.25,0.0,18
2,offloading,anthropic__claude-haiku-4-5,2.495614035087719,0.8100800544433168,19
2,offloading,gemini__gemini-2.0-flash,3.223684210526316,0.2188152576011653,19
2,offloading,openai__gpt-4o-mini,3.236842105263158,0.05735393346764042,19
3,engaged,anthropic__claude-haiku-4-5,2.6805555555555554,0.5935725999172714,18
3,engaged,gemini__gemini-2.0-flash,3.2333333333333334,0.06454972243679026,15
3,engaged,openai__gpt-4o-mini,3.25,0.0,18
3,offloading,anthropic__claude-haiku-4-5,2.3771929824561404,0.6475073412595839,19
3,offloading,gemini__gemini-2.0-flash,3.109375,0.128086884574495,16
3,offloading,openai__gpt-4o-mini,3.236842105263158,0.05735393346764045,19
4,engaged,anthropic__claude-haiku-4-5,2.4027777777777777,0.45035389134655024,18
4,engaged,gemini__gemini-2.0-flash,3.25,0.0,18
4,engaged,openai__gpt-4o-mini,3.25,0.0,18
4,offloading,anthropic__claude-haiku-4-5,2.4692982456140355,0.8008533866124329,19
4,offloading,gemini__gemini-2.0-flash,3.185185185185185,0.24178589951756752,18
4,offloading,openai__gpt-4o-mini,3.25,0.0,19
